API,CODE,EN
edit_profile,mobile_number_number,"Please enter valid number for the phone number field."
edit_profile,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
edit_profile,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
go_ad_free,users_finish_success,"Ads are removed successfully."
delete_account,users_finish_success,"Something went wrong. Please try again a while!"
delete_account,users_finish_success_1,"You have successfully deleted your account."
delete_account,user_id_required,"Please enter a value for the user_id field."
user_login_email,users_finish_success_2,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
social_login,users_finish_success_2,"Your account is inactive.Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password_phone,users_finish_success_3,"Your account is no longer available. Please contact administrator ({%SYSTEM.EMAIL_ADMIN%})"
forgot_password_phone,users_finish_success,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
update_push_notification_settings,users_finish_success,"Notifications updated successfully."
update_push_notification_settings,users_finish_success_1,"something went wrong, Please try again a while!"
forgot_password_phone,mobile_number_required,"Please enter a value for the mobile_number field."
forgot_password_phone,mobile_number_number,"Please enter valid phone number."
forgot_password_phone,mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
forgot_password_phone,mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
change_mobile_number,user_id_required,"Please enter a value for the user_id field."
change_mobile_number,new_mobile_number_required,"Please enter a value for the new_mobile_number field."
change_mobile_number,new_mobile_number_number,"Please enter valid phone number."
change_mobile_number,new_mobile_number_minlength,"Please enter minimum 10 digits for the phone number field."
change_mobile_number,new_mobile_number_maxlength,"Please enter maximum 13 digits for the phone number field."
post_a_feedback,device_type_required,"Please enter a value for the device_type field."
post_a_feedback,device_model_required,"Please enter a value for the device_model field."
post_a_feedback,device_os_required,"Please enter a value for the device_os field."
post_a_feedback,images_count_required,"Please enter a value for the images_count field."
post_a_feedback,user_query_finish_success,"You have successfully posted your feedback."
get_config_paramaters,finish_success,success.
user_sign_up_email,users_finish_success,"You have successfully registered. Please check your email and confirm your registration."
user_sign_up_phone,users_finish_success,"You have successfully registered."
social_sign_up,users_finish_success,"You have successfully registered."
edit_profile,users_finish_success_2,"Profile updated successfully."
user_login_email,users_finish_success_3,"You've successfully logged in."
user_login_phone,users_finish_success_3,"You've successfully logged in."
social_login,users_finish_success_3,"You've successfully logged in."
update_page_version,page_type_required,"Please enter a value for the page_type field."
update_page_version,finish_success_1,"Something went wrong, Please try again a  while!"
update_page_version,finish_success,"#message# "
check_unique_user,finish_success_2,"OTP has been sent to registered mobile number."
user_login_phone,users_finish_success,"Please provide valid login credentials."
user_login_phone,users_finish_success_2,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password,users_finish_success,"Your account is inactive. Contact your administrator ({%SYSTEM.EMAIL_ADMIN%}) to activate it."
forgot_password_phone,users_finish_success_2,"OTP has been sent to your registered mobile number."
forgot_password_phone,users_finish_success_1,"Account does not exist for entered phone number."
forgot_password,users_finish_success_1,"Account does not exist for entered email."
social_login,users_finish_success_1,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
user_login_phone,users_finish_success_1,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
user_login_email,users_finish_success_5,"Your account is no longer available. Please contact administrator (""{%SYSTEM.EMAIL_ADMIN%}"")."
reset_password_phone,users_finish_success_1,"Password reset successfully."
reset_password,users_finish_success_1,"Password reset successfully."
change_password,users_finish_success,"Password updated successfully."
forgot_password,users_finish_success_3,"Your account is no longer available. Please contact administrator ({%SYSTEM.EMAIL_ADMIN%})"
